"","Q21","Q23","Q24","Q25","Q27"
"Q21",1,0.89,0.86,0.9,0.84
"Q23",0.89,1,0.92,0.89,0.87
"Q24",0.86,0.92,1,0.88,0.87
"Q25",0.9,0.89,0.88,1,0.85
"Q27",0.84,0.87,0.87,0.85,1
